"Story","Title","Result","Date","Stability","Duration (s)"
"Bookit env test","Test1","SUCCESS","2022-05-12T10:33:03.560464-05:00[America/Chicago]","0.0","0.88"
"Spartan editor post test","Editor should be able to POST","IGNORED","2022-05-12T10:33:09.376128-05:00[America/Chicago]","0.0","0.13"
"Spartan editor post test","POST Spartan 1 - name","SUCCESS","2022-05-12T10:33:09.59729-05:00[America/Chicago]","0.0","0.11"
"Spartan editor post test","POST Spartan 2 - name","SUCCESS","2022-05-12T10:33:09.708772-05:00[America/Chicago]","0.0","0.16"
"Spartan editor post test","POST Spartan 3 - name","SUCCESS","2022-05-12T10:33:09.874452-05:00[America/Chicago]","0.0","0.2"
"Spartan editor post test","POST Spartan 4 - name","SUCCESS","2022-05-12T10:33:10.085015-05:00[America/Chicago]","0.0","0.15"
"Spartan editor post test","POST Spartan 5 - name","SUCCESS","2022-05-12T10:33:10.24602-05:00[America/Chicago]","0.0","0.34"
"Spartan editor post test","POST Spartan 6 - name","SUCCESS","2022-05-12T10:33:10.616781-05:00[America/Chicago]","0.0","0.41"
"Spartan editor post test","POST Spartan 7 - name","SUCCESS","2022-05-12T10:33:11.047048-05:00[America/Chicago]","0.0","0.14"
"Spartan editor post test","POST Spartan 8 - name","SUCCESS","2022-05-12T10:33:11.18974-05:00[America/Chicago]","0.0","0.11"
"Spartan editor post test","POST Spartan 9 - name","SUCCESS","2022-05-12T10:33:11.3066-05:00[America/Chicago]","0.0","0.12"
"Spartan editor post test","POST Spartan 10 - name","SUCCESS","2022-05-12T10:33:11.436066-05:00[America/Chicago]","0.0","0.08"
